#       time      orderparam
         0      0.25356600
         1      0.27021800
         2      0.27009300
         3      0.27021800
         4      0.27006100
         5      0.27021800
         6      0.27009300
         7      0.27029600
         8      0.27000500
         9      0.27021800
        10      0.27000500
        11      0.27018700
        12      0.27011300
        13      0.27024200
        14      0.27009300
        15      0.27021800
        16      0.27009300
        17      0.27038400
        18      0.27018700
        19      0.27029600
        20      0.27018700
        21      0.27021800
        22      0.27006100
        23      0.27005200
        24      0.27006100
        25      0.27009300
        26      0.25356600
