# Cycle: 199990, status: ACC, move: ('sh', 0.696015295, 10, 14)
#     Time       Orderp
         0     0.802540
         1     0.788224
         2     0.776438
         3     0.765552
         4     0.755745
         5     0.746258
         6     0.738386
         7     0.730225
         8     0.723358
         9     0.716886
        10     0.710186
        11     0.704270
        12     0.700572
        13     0.697842
        14     0.696015
        15     0.696056
        16     0.698109
        17     0.701052
        18     0.704466
        19     0.708468
        20     0.715179
        21     0.723374
        22     0.730937
        23     0.738307
        24     0.745349
        25     0.752687
        26     0.760210
        27     0.769440
        28     0.779915
        29     0.791626
        30     0.804734
