# Cycle: 94, status: ACC
#     Step              Filename       index    vel
         0      004_99_trajB.trr           6     -1
         1      004_99_trajB.trr           5     -1
         2      004_99_trajB.trr           4     -1
         3      004_99_trajB.trr           3     -1
         4      004_99_trajB.trr           2     -1
         5      004_99_trajB.trr           1     -1
         6      004_99_trajB.trr           0     -1
         7      004_97_trajB.trr           9     -1
         8      004_97_trajB.trr           8     -1
         9      004_97_trajB.trr           7     -1
        10      004_97_trajB.trr           6     -1
        11      004_97_trajB.trr           5     -1
        12      004_97_trajB.trr           4     -1
        13      004_97_trajB.trr           3     -1
        14      004_97_trajB.trr           2     -1
        15      004_97_trajB.trr           1     -1
        16      004_97_trajB.trr           0     -1
        17      004_98_trajF.trr           1      1
        18      004_98_trajF.trr           2      1
        19      004_98_trajF.trr           3      1
        20      004_98_trajF.trr           4      1
        21      004_98_trajF.trr           5      1
        22      004_98_trajF.trr           6      1
        23      004_98_trajF.trr           7      1
        24      004_98_trajF.trr           8      1
        25      004_98_trajF.trr           9      1
        26      004_98_trajF.trr          10      1
        27      004_98_trajF.trr          11      1
        28     004_100_trajF.trr           0      1
        29     004_100_trajF.trr           1      1
        30     004_100_trajF.trr           2      1
        31     004_100_trajF.trr           3      1
        32     004_100_trajF.trr           4      1
        33     004_100_trajF.trr           5      1
        34     004_100_trajF.trr           6      1
