#       time      orderparam
         0         -4.0002
         1         -3.9318
         2         -3.8651
         3         -3.7857
         4         -3.6913
         5         -3.5870
         6         -3.4668
         7         -3.2664
         8         -2.9667
         9         -2.3658
        10         -1.5196
        11         -1.4159
        12         -4.0002
