#       time      orderparam
         0         -4.0002
         1         -3.9638
         2         -3.9198
         3         -3.8761
         4         -3.8359
         5         -3.7827
         6         -3.7153
         7         -3.6631
         8         -3.6002
         9         -3.5381
        10         -3.4494
        11         -3.4271
        12         -4.0002
