# Cycle: 199994, status: ACC, move: None
#     Time       Orderp
         0    -0.988339
         1    -1.006781
         2    -1.025311
         3    -1.043943
         4    -1.061910
         5    -1.078296
         6    -1.093613
         7    -1.109018
         8    -1.123987
         9    -1.139595
        10    -1.154422
        11    -1.167022
        12    -1.178259
        13    -1.187480
        14    -1.195361
        15    -1.200432
        16    -1.202387
        17    -1.202822
        18    -1.202959
        19    -1.202313
        20    -1.199987
        21    -1.195763
        22    -1.188967
        23    -1.180868
        24    -1.171561
        25    -1.160679
        26    -1.149050
        27    -1.137156
        28    -1.125431
        29    -1.113362
        30    -1.100669
        31    -1.087509
        32    -1.073960
        33    -1.060429
        34    -1.046147
        35    -1.030623
        36    -1.015032
        37    -0.999173
        38    -0.983029
