# Cycle: 199994, status: ACC
#     Step              Filename       index    vel
         0   000_48791_trajB.xyz          37     -1
         1   000_48791_trajB.xyz          36     -1
         2   000_48791_trajB.xyz          35     -1
         3   000_48791_trajB.xyz          34     -1
         4   000_48791_trajB.xyz          33     -1
         5   000_48791_trajB.xyz          32     -1
         6   000_48791_trajB.xyz          31     -1
         7   000_48791_trajB.xyz          30     -1
         8   000_48791_trajB.xyz          29     -1
         9   000_48791_trajB.xyz          28     -1
        10   000_48791_trajB.xyz          27     -1
        11   000_48791_trajB.xyz          26     -1
        12   000_48791_trajB.xyz          25     -1
        13   000_48791_trajB.xyz          24     -1
        14   000_48791_trajB.xyz          23     -1
        15   000_48791_trajB.xyz          22     -1
        16   000_48791_trajB.xyz          21     -1
        17   000_48791_trajB.xyz          20     -1
        18   000_48791_trajB.xyz          19     -1
        19   000_48791_trajB.xyz          18     -1
        20   000_48791_trajB.xyz          17     -1
        21   000_48791_trajB.xyz          16     -1
        22   000_48791_trajB.xyz          15     -1
        23   000_48791_trajB.xyz          14     -1
        24   000_48791_trajB.xyz          13     -1
        25   000_48791_trajB.xyz          12     -1
        26   000_48791_trajB.xyz          11     -1
        27   000_48791_trajB.xyz          10     -1
        28   000_48791_trajB.xyz           9     -1
        29   000_48791_trajB.xyz           8     -1
        30   000_48791_trajB.xyz           7     -1
        31   000_48791_trajB.xyz           6     -1
        32   000_48791_trajB.xyz           5     -1
        33   000_48791_trajB.xyz           4     -1
        34   000_48791_trajB.xyz           3     -1
        35   000_48791_trajB.xyz           2     -1
        36   000_48791_trajB.xyz           1     -1
        37   000_48791_trajB.xyz           0     -1
        38            second.xyz           0     -1
