#       time      orderparam
         0         -4.0002
         1         -3.9421
         2         -3.8871
         3         -3.8174
         4         -3.7290
         5         -3.6516
         6         -3.5580
         7         -3.4449
         8         -3.2689
         9         -3.0139
        10         -2.6022
        11         -2.5664
        12         -4.0002
