# 
4	1676020747.38507	1676020747.63264	0
6	1676020747.41055	1676020747.70921	1
3	1676020747.42862	1676020747.76208	2
1	1676020747.70921	1676020747.84173	1
4	1676020747.63264	1676020747.86928	0
3	1676020747.76208	1676020747.96460	2
6	1676020747.84173	1676020748.01226	1
7	1676020747.86928	1676020748.09406	0
2	1676020747.96460	1676020748.14341	2
5	1676020748.01226	1676020748.18513	1
4	1676020748.09406	1676020748.21575	0
0	1676020748.21575	1676020748.32005	0
1	1676020748.21575	1676020748.32005	0
2	1676020748.14341	1676020748.33526	2
4	1676020748.33526	1676020748.46276	2
7	1676020748.18513	1676020748.49579	1
5	1676020748.32005	1676020748.52499	0
6	1676020748.46276	1676020748.63145	2
4	1676020748.52499	1676020748.64982	0
2	1676020748.63145	1676020748.73160	2
5	1676020748.64982	1676020748.77014	0
7	1676020748.49579	1676020748.79706	1
1	1676020748.77014	1676020748.82726	0
0	1676020748.73160	1676020748.84557	2
2	1676020748.84557	1676020748.97474	2
3	1676020748.82726	1676020748.99278	0
7	1676020748.79706	1676020749.01278	1
1	1676020748.97474	1676020749.03409	2
0	1676020749.03409	1676020749.08225	2
3	1676020748.99278	1676020749.13104	0
5	1676020749.01278	1676020749.15175	1
4	1676020749.08225	1676020749.20486	2
3	1676020749.13104	1676020749.26166	0
5	1676020749.20486	1676020749.33919	2
7	1676020749.15175	1676020749.36447	1
2	1676020749.26166	1676020749.40329	0
0	1676020749.40329	1676020749.43796	0
4	1676020749.33919	1676020749.48275	2
0	1676020749.48275	1676020749.55990	2
1	1676020749.48275	1676020749.55990	2
6	1676020749.36447	1676020749.57676	1
5	1676020749.43796	1676020749.60027	0
2	1676020749.55990	1676020749.74277	2
4	1676020749.60027	1676020749.80083	0
3	1676020749.57676	1676020749.83338	1
# 0	1676020749.80083	1676020749.91241	0
# 1	1676020749.80083	1676020749.91241	0
# 0	1676020749.91241	1676020750.02206	0
# 1	1676020749.91241	1676020750.02206	0
# 5	1676020749.83338	1676020750.08727	1
# 0	1676020750.02206	1676020750.14350	0
# 1	1676020750.02206	1676020750.14350	0
