#       time      orderparam
         0         -4.0002
         1         -3.9368
         2         -3.8741
         3         -3.8003
         4         -3.7102
         5         -3.6201
         6         -3.5188
         7         -3.3414
         8         -3.1325
         9         -2.7989
        10         -2.0855
        11         -1.9999
        12         -4.0002
