# Cycle: 199993, status: ACC
#     Step              Filename       index    vel
         0   004_48777_trajB.xyz          19     -1
         1   004_48777_trajB.xyz          18     -1
         2   004_48777_trajB.xyz          17     -1
         3   004_48777_trajB.xyz          16     -1
         4   004_48777_trajB.xyz          15     -1
         5   004_48777_trajB.xyz          14     -1
         6   004_48777_trajB.xyz          13     -1
         7   004_48777_trajB.xyz          12     -1
         8   004_48777_trajB.xyz          11     -1
         9   004_48777_trajB.xyz          10     -1
        10   004_48777_trajB.xyz           9     -1
        11   004_48777_trajB.xyz           8     -1
        12   004_48777_trajB.xyz           7     -1
        13   004_48777_trajB.xyz           6     -1
        14   004_48777_trajB.xyz           5     -1
        15   004_48777_trajB.xyz           4     -1
        16   004_48777_trajB.xyz           3     -1
        17   004_48777_trajB.xyz           2     -1
        18   004_48777_trajB.xyz           1     -1
        19   004_48777_trajB.xyz           0     -1
        20   004_48778_trajF.xyz           1      1
        21   004_48778_trajF.xyz           2      1
        22   004_48778_trajF.xyz           3      1
        23   004_48778_trajF.xyz           4      1
        24   004_48778_trajF.xyz           5      1
        25   004_48778_trajF.xyz           6      1
        26   004_48778_trajF.xyz           7      1
        27   004_48778_trajF.xyz           8      1
        28   004_48778_trajF.xyz           9      1
        29   004_48778_trajF.xyz          10      1
        30   004_48778_trajF.xyz          11      1
        31   004_48778_trajF.xyz          12      1
        32   004_48778_trajF.xyz          13      1
        33   004_48778_trajF.xyz          14      1
