# Cycle: 38, status: ACC
#     Step              Filename       index    vel
         0     005_266_trajB.xyz           5     -1
         1     005_266_trajB.xyz           4     -1
         2     005_266_trajB.xyz           3     -1
         3     005_266_trajB.xyz           2     -1
         4     005_266_trajB.xyz           1     -1
         5     005_266_trajB.xyz           0     -1
         6     005_264_trajB.xyz          10     -1
         7     005_264_trajB.xyz           9     -1
         8     005_264_trajB.xyz           8     -1
         9     005_264_trajB.xyz           7     -1
        10     005_264_trajB.xyz           6     -1
        11     005_264_trajB.xyz           5     -1
        12     005_264_trajB.xyz           4     -1
        13     005_264_trajB.xyz           3     -1
        14     005_264_trajB.xyz           2     -1
        15     005_264_trajB.xyz           1     -1
        16     005_264_trajB.xyz           0     -1
        17     005_265_trajF.xyz           1      1
        18     005_265_trajF.xyz           2      1
        19     005_265_trajF.xyz           3      1
        20     005_265_trajF.xyz           4      1
        21     005_265_trajF.xyz           5      1
        22     005_265_trajF.xyz           6      1
        23     005_265_trajF.xyz           7      1
        24     005_265_trajF.xyz           8      1
        25     005_265_trajF.xyz           9      1
        26     005_265_trajF.xyz          10      1
        27     005_265_trajF.xyz          11      1
        28     005_265_trajF.xyz          12      1
        29     005_265_trajF.xyz          13      1
        30     005_265_trajF.xyz          14      1
        31     005_265_trajF.xyz          15      1
        32     005_265_trajF.xyz          16      1
        33     005_265_trajF.xyz          17      1
        34     005_265_trajF.xyz          18      1
        35     005_265_trajF.xyz          19      1
        36     005_265_trajF.xyz          20      1
        37     005_265_trajF.xyz          21      1
        38     005_265_trajF.xyz          22      1
        39     005_265_trajF.xyz          23      1
        40     005_265_trajF.xyz          24      1
        41     005_265_trajF.xyz          25      1
        42     005_265_trajF.xyz          26      1
        43     005_267_trajF.xyz           0      1
        44     005_267_trajF.xyz           1      1
        45     005_267_trajF.xyz           2      1
        46     005_267_trajF.xyz           3      1
        47     005_267_trajF.xyz           4      1
        48     005_267_trajF.xyz           5      1
