# Cycle: 38, status: ACC, move: ('wf', 9000, 3, 49)
#     Time       Orderp
         0     0.333800
         1     0.350584
         2     0.366523
         3     0.381127
         4     0.394288
         5     0.406033
         6     0.416590
         7     0.426055
         8     0.434549
         9     0.442228
        10     0.449094
        11     0.455332
        12     0.461031
        13     0.466211
        14     0.470912
        15     0.475088
        16     0.478796
        17     0.481956
        18     0.484590
        19     0.486881
        20     0.488627
        21     0.489943
        22     0.490850
        23     0.491523
        24     0.491748
        25     0.491697
        26     0.491231
        27     0.490275
        28     0.488866
        29     0.487015
        30     0.484782
        31     0.482111
        32     0.478996
        33     0.475435
        34     0.471343
        35     0.466842
        36     0.461768
        37     0.456047
        38     0.449640
        39     0.442542
        40     0.434697
        41     0.425976
        42     0.416206
        43     0.405463
        44     0.393562
        45     0.380299
        46     0.365638
        47     0.349586
        48     0.332606
