#       time      orderparam
         0         -4.0002
         1         -3.9457
         2         -3.8950
         3         -3.8302
         4         -3.7461
         5         -3.6782
         6         -3.5920
         7         -3.5029
         8         -3.3356
         9         -3.1505
        10         -2.8816
        11         -2.8549
        12         -4.0002
