# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
# Cycle: 5, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -14.180651      22.449076
         1     -15.525369      23.623978
         2     -14.180651      22.449076
# Cycle: 6, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -14.180651      22.449076
         1     -15.525369      23.623978
         2     -14.180651      22.449076
# Cycle: 7, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -11.615979      25.833393
         1     -11.798420      26.091647
         2     -15.472285      29.625730
         3     -17.490574      31.597816
         4     -13.509173      27.788677
         5     -12.058136      26.311933
         6     -13.587528      27.651483
         7     -10.705201      24.802908
         8      -7.319502      21.471247
         9      -9.159995      23.190778
        10      -7.636962      21.711729
        11      -4.055677      18.293442
        12      -5.580685      19.728073
        13      -8.183051      22.205226
        14      -4.419364      18.588069
        15      -4.359611      18.597144
        16      -5.736509      19.885159
        17      -5.368444      19.612974
        18      -1.983516      16.394340
        19      -5.381565      19.708185
        20      -5.630522      19.929604
        21      -4.121035      18.613703
        22      -2.371136      16.894504
        23      -7.081039      21.485805
        24      -3.532293      18.040067
        25      -2.182322      16.815173
        26      -3.095952      17.617524
        27      -4.669967      19.156529
        28       0.060100      14.561786
        29      -2.625441      17.175613
        30      -4.288375      18.677481
        31      -2.926818      17.386708
        32      -2.213849      16.719982
        33      -5.118311      19.443458
        34      -6.271423      20.533709
        35      -5.557589      19.876166
        36      -7.363165      21.548022
        37     -10.272058      24.330420
        38      -8.276139      22.449076
        39      -6.425028      20.629461
        40     -10.198892      24.233668
        41      -9.933449      23.972886
        42      -7.120345      21.272974
        43     -10.596788      24.659843
        44     -12.762899      26.762934
        45     -10.662252      24.812196
        46     -12.107087      26.300117
        47     -14.713934      28.818437
        48     -12.985043      27.192002
        49     -11.004870      25.352516
        50     -13.152800      27.400991
        51     -14.300708      28.516654
        52     -12.280883      26.659701
# Cycle: 8, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -14.180651      22.449076
         1     -15.525369      23.623978
         2     -14.180651      22.449076
# Cycle: 9, status: ACC, move: ('sh', 0.3667402185391032, 37, 35)
#     Time      Potential        Kinetic
         0     -13.496732      26.193736
         1     -12.900051      25.555292
         2      -5.815686      18.749122
         3      -7.130647      19.936696
         4     -12.064521      24.561635
         5      -8.105569      20.723445
         6      -5.484203      18.186675
         7     -10.358205      22.788815
         8      -9.296615      21.760619
         9      -3.448322      16.172557
        10      -6.589746      19.156029
        11      -9.280740      21.702279
        12      -2.976762      15.699628
        13      -1.473860      14.290949
        14      -5.782129      18.387349
        15      -2.239307      15.025486
        16       3.621113       9.467858
        17       1.070360      11.906514
        18       0.708500      12.273029
        19       7.099043       6.220833
