# Cycle: 46, status: ACC, move: ('wf', 9000, 3, 38)
#     Time       Orderp
         0     0.331899
         1     0.347672
         2     0.362759
         3     0.376636
         4     0.389101
         5     0.400202
         6     0.410106
         7     0.418956
         8     0.426866
         9     0.433708
        10     0.439717
        11     0.444850
        12     0.449291
        13     0.452980
        14     0.455987
        15     0.458420
        16     0.460153
        17     0.461289
        18     0.462039
        19     0.462384
        20     0.462173
        21     0.461325
        22     0.459864
        23     0.457811
        24     0.455163
        25     0.451941
        26     0.447945
        27     0.443161
        28     0.437593
        29     0.431204
        30     0.424008
        31     0.415856
        32     0.406659
        33     0.396367
        34     0.384863
        35     0.372093
        36     0.358000
        37     0.342735
