# Cycle: 46, status: ACC
#     Step              Filename       index    vel
         0     006_312_trajB.xyz           7     -1
         1     006_312_trajB.xyz           6     -1
         2     006_312_trajB.xyz           5     -1
         3     006_312_trajB.xyz           4     -1
         4     006_312_trajB.xyz           3     -1
         5     006_312_trajB.xyz           2     -1
         6     006_312_trajB.xyz           1     -1
         7     006_312_trajB.xyz           0     -1
         8     006_310_trajB.xyz          13     -1
         9     006_310_trajB.xyz          12     -1
        10     006_310_trajB.xyz          11     -1
        11     006_310_trajB.xyz          10     -1
        12     006_310_trajB.xyz           9     -1
        13     006_310_trajB.xyz           8     -1
        14     006_310_trajB.xyz           7     -1
        15     006_310_trajB.xyz           6     -1
        16     006_310_trajB.xyz           5     -1
        17     006_310_trajB.xyz           4     -1
        18     006_310_trajB.xyz           3     -1
        19     006_310_trajB.xyz           2     -1
        20     006_310_trajB.xyz           1     -1
        21     006_310_trajB.xyz           0     -1
        22     006_311_trajF.xyz           1      1
        23     006_311_trajF.xyz           2      1
        24     006_311_trajF.xyz           3      1
        25     006_311_trajF.xyz           4      1
        26     006_311_trajF.xyz           5      1
        27     006_311_trajF.xyz           6      1
        28     006_311_trajF.xyz           7      1
        29     006_311_trajF.xyz           8      1
        30     006_311_trajF.xyz           9      1
        31     006_313_trajF.xyz           0      1
        32     006_313_trajF.xyz           1      1
        33     006_313_trajF.xyz           2      1
        34     006_313_trajF.xyz           3      1
        35     006_313_trajF.xyz           4      1
        36     006_313_trajF.xyz           5      1
        37     006_313_trajF.xyz           6      1
