#       time      orderparam
         0         -4.0002
         1         -3.9748
         2         -3.9555
         3         -3.9267
         4         -3.9032
         5         -3.8757
         6         -3.8556
         7         -3.8201
         8         -3.7917
         9         -3.7461
        10         -3.7137
        11         -4.0002
