# Cycle: 87, status: ACC, move: ('wf', 9000, 2, 32)
#     Time       Orderp
         0     0.332682
         1     0.345875
         2     0.358759
         3     0.370678
         4     0.381427
         5     0.390988
         6     0.399416
         7     0.406789
         8     0.413184
         9     0.418670
        10     0.423306
        11     0.427144
        12     0.430224
        13     0.432575
        14     0.434223
        15     0.435183
        16     0.435465
        17     0.435072
        18     0.433999
        19     0.432236
        20     0.429766
        21     0.426565
        22     0.422598
        23     0.417824
        24     0.412193
        25     0.405641
        26     0.398099
        27     0.389489
        28     0.379734
        29     0.368788
        30     0.356687
        31     0.343690
