#       time      orderparam
         0          0.3450
         1          0.3680
         2          0.3960
         3          0.4410
         4          0.5000
         5          0.5640
         6          0.6550
         7          0.7500
         8          0.8550
         9          0.9820
        10          1.1750
        11          1.2020
