# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
        15     0.329816
        16     0.330813
        17     0.330245
        18     0.330306
        19     0.329076
        20     0.327487
        21     0.326619
        22     0.324909
        23     0.322512
        24     0.321979
        25     0.319218
        26     0.317647
        27     0.316407
        28     0.314646
        29     0.312992
        30     0.312288
        31     0.309645
        32     0.308153
        33     0.305414
        34     0.301647
        35     0.298309
# Cycle: 16, status: ACC, move: ('sh', 0.3192182675883317, 25, 6)
#     Time       Orderp
         0     0.298373
         1     0.302171
         2     0.306695
         3     0.310159
         4     0.312542
         5     0.317322
         6     0.319218
         7     0.322123
         8     0.325205
         9     0.326106
        10     0.327572
        11     0.328872
        12     0.328420
        13     0.329060
        14     0.328841
        15     0.328047
        16     0.327493
        17     0.327027
        18     0.325031
        19     0.325034
        20     0.323299
        21     0.321895
        22     0.321085
        23     0.318870
        24     0.316535
        25     0.314503
        26     0.310518
        27     0.306863
        28     0.303042
        29     0.297412
# Cycle: 17, status: ACC, move: ('sh', 0.3218951906938009, 21, 13)
#     Time       Orderp
         0     0.299237
         1     0.302299
         2     0.304404
         3     0.305931
         4     0.306163
         5     0.306985
         6     0.308080
         7     0.309627
         8     0.311664
         9     0.314865
        10     0.317077
        11     0.320072
        12     0.321916
        13     0.321895
        14     0.322131
        15     0.321648
        16     0.320797
        17     0.321362
        18     0.321950
        19     0.322973
        20     0.325140
        21     0.327068
        22     0.329339
        23     0.331206
        24     0.331692
        25     0.332542
        26     0.331230
        27     0.330341
        28     0.328527
        29     0.325859
        30     0.321945
        31     0.318681
        32     0.313808
        33     0.309870
        34     0.306900
        35     0.303895
        36     0.301110
        37     0.299296
# Cycle: 18, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.296010
         1     0.303261
         2     0.310692
         3     0.317213
         4     0.323732
         5     0.328360
         6     0.334576
         7     0.338647
         8     0.343383
         9     0.348095
        10     0.351822
        11     0.355948
        12     0.359799
        13     0.362941
        14     0.365846
        15     0.369360
        16     0.370573
        17     0.373978
        18     0.374987
        19     0.377161
        20     0.378091
        21     0.379955
        22     0.379671
        23     0.381714
        24     0.380760
        25     0.381860
        26     0.381003
        27     0.381012
        28     0.379424
        29     0.379081
        30     0.376701
        31     0.375642
        32     0.373400
        33     0.371428
        34     0.369226
        35     0.366740
        36     0.364214
        37     0.361209
        38     0.358587
        39     0.354646
        40     0.352033
        41     0.347119
        42     0.343577
        43     0.338039
        44     0.333141
        45     0.326189
        46     0.320855
        47     0.312194
        48     0.306088
        49     0.296957
# Cycle: 19, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.296010
         1     0.303261
         2     0.310692
         3     0.317213
         4     0.323732
         5     0.328360
         6     0.334576
         7     0.338647
         8     0.343383
         9     0.348095
        10     0.351822
        11     0.355948
        12     0.359799
        13     0.362941
        14     0.365846
        15     0.369360
        16     0.370573
        17     0.373978
        18     0.374987
        19     0.377161
        20     0.378091
        21     0.379955
        22     0.379671
        23     0.381714
        24     0.380760
        25     0.381860
        26     0.381003
        27     0.381012
        28     0.379424
        29     0.379081
        30     0.376701
        31     0.375642
        32     0.373400
        33     0.371428
        34     0.369226
        35     0.366740
        36     0.364214
        37     0.361209
        38     0.358587
        39     0.354646
        40     0.352033
        41     0.347119
        42     0.343577
        43     0.338039
        44     0.333141
        45     0.326189
        46     0.320855
        47     0.312194
        48     0.306088
        49     0.296957
