# Cycle: 30, status: ACC, move: ('wf', 9000, 3, 34)
#     Time       Orderp
         0     0.336375
         1     0.352455
         2     0.367555
         3     0.381228
         4     0.393380
         5     0.404100
         6     0.413506
         7     0.421749
         8     0.428936
         9     0.435075
        10     0.440299
        11     0.444712
        12     0.448350
        13     0.451106
        14     0.452984
        15     0.454098
        16     0.454540
        17     0.454387
        18     0.453513
        19     0.451886
        20     0.449488
        21     0.446411
        22     0.442559
        23     0.437779
        24     0.432100
        25     0.425515
        26     0.418045
        27     0.409398
        28     0.399490
        29     0.388221
        30     0.375501
        31     0.361252
        32     0.345543
        33     0.329226
