# Cycle: 0, status: ACC
#     Step              Filename       index    vel
         0           2_trajB.rkf          10     -1
         1           2_trajB.rkf           9     -1
         2           2_trajB.rkf           8     -1
         3           2_trajB.rkf           7     -1
         4           2_trajB.rkf           6     -1
         5           2_trajB.rkf           5     -1
         6           2_trajB.rkf           4     -1
         7           2_trajB.rkf           3     -1
         8           2_trajB.rkf           2     -1
         9           2_trajB.rkf           1     -1
        10           2_trajB.rkf           0     -1
        11           1_trajF.rkf           0      1
        12           1_trajF.rkf           1      1
        13           1_trajF.rkf           2      1
        14           1_trajF.rkf           3      1
        15           1_trajF.rkf           4      1
        16           1_trajF.rkf           5      1
        17           1_trajF.rkf           6      1
        18           1_trajF.rkf           7      1
        19           1_trajF.rkf           8      1
        20           1_trajF.rkf           9      1
        21           1_trajF.rkf          10      1
        22           1_trajF.rkf          11      1
        23           1_trajF.rkf          12      1
        24           1_trajF.rkf          13      1
        25           1_trajF.rkf          14      1
        26           1_trajF.rkf          15      1
        27           1_trajF.rkf          16      1
        28           1_trajF.rkf          17      1
        29           1_trajF.rkf          18      1
        30           1_trajF.rkf          19      1
        31           1_trajF.rkf          20      1
        32           1_trajF.rkf          21      1
        33           1_trajF.rkf          22      1
        34           1_trajF.rkf          23      1
        35           1_trajF.rkf          24      1
        36           1_trajF.rkf          25      1
        37           1_trajF.rkf          26      1
        38           1_trajF.rkf          27      1
        39           1_trajF.rkf          28      1
        40           1_trajF.rkf          29      1
        41           1_trajF.rkf          30      1
        42           1_trajF.rkf          31      1
        43           1_trajF.rkf          32      1
        44           1_trajF.rkf          33      1
        45           1_trajF.rkf          34      1
        46           1_trajF.rkf          35      1
        47           1_trajF.rkf          36      1
        48           1_trajF.rkf          37      1
        49           1_trajF.rkf          38      1
        50           1_trajF.rkf          39      1
