#       time      orderparam
         0         -4.0002
         1         -3.9555
         2         -3.9032
         3         -3.8556
         4         -3.7917
         5         -3.7137
         6         -3.6495
         7         -3.5683
         8         -3.4761
         9         -3.3344
        10         -3.1653
        11         -3.1392
        12         -4.0002
