# Cycle: 94, status: ACC
#     Step              Filename       index    vel
         0      004_99_trajB.xyz           6     -1
         1      004_99_trajB.xyz           5     -1
         2      004_99_trajB.xyz           4     -1
         3      004_99_trajB.xyz           3     -1
         4      004_99_trajB.xyz           2     -1
         5      004_99_trajB.xyz           1     -1
         6      004_99_trajB.xyz           0     -1
         7      004_97_trajB.xyz           9     -1
         8      004_97_trajB.xyz           8     -1
         9      004_97_trajB.xyz           7     -1
        10      004_97_trajB.xyz           6     -1
        11      004_97_trajB.xyz           5     -1
        12      004_97_trajB.xyz           4     -1
        13      004_97_trajB.xyz           3     -1
        14      004_97_trajB.xyz           2     -1
        15      004_97_trajB.xyz           1     -1
        16      004_97_trajB.xyz           0     -1
        17      004_98_trajF.xyz           1      1
        18      004_98_trajF.xyz           2      1
        19      004_98_trajF.xyz           3      1
        20      004_98_trajF.xyz           4      1
        21      004_98_trajF.xyz           5      1
        22      004_98_trajF.xyz           6      1
        23      004_98_trajF.xyz           7      1
        24      004_98_trajF.xyz           8      1
        25      004_98_trajF.xyz           9      1
        26      004_98_trajF.xyz          10      1
        27      004_98_trajF.xyz          11      1
        28     004_100_trajF.xyz           0      1
        29     004_100_trajF.xyz           1      1
        30     004_100_trajF.xyz           2      1
        31     004_100_trajF.xyz           3      1
        32     004_100_trajF.xyz           4      1
        33     004_100_trajF.xyz           5      1
        34     004_100_trajF.xyz           6      1
