#       time      orderparam
         0         -4.0002
         1         -3.9398
         2         -3.8798
         3         -3.8089
         4         -3.7208
         5         -3.6389
         6         -3.5440
         7         -3.4153
         8         -3.2187
         9         -2.9277
        10         -2.3842
        11         -2.2838
        12         -4.0002
