# Cycle: 54, status: ACC
#     Step              Filename       index    vel
         0      004_56_trajB.trr           6     -1
         1      004_56_trajB.trr           5     -1
         2      004_56_trajB.trr           4     -1
         3      004_56_trajB.trr           3     -1
         4      004_56_trajB.trr           2     -1
         5      004_56_trajB.trr           1     -1
         6      004_56_trajB.trr           0     -1
         7      004_54_trajB.trr          21     -1
         8      004_54_trajB.trr          20     -1
         9      004_54_trajB.trr          19     -1
        10      004_54_trajB.trr          18     -1
        11      004_54_trajB.trr          17     -1
        12      004_54_trajB.trr          16     -1
        13      004_54_trajB.trr          15     -1
        14      004_54_trajB.trr          14     -1
        15      004_54_trajB.trr          13     -1
        16      004_54_trajB.trr          12     -1
        17      004_54_trajB.trr          11     -1
        18      004_54_trajB.trr          10     -1
        19      004_54_trajB.trr           9     -1
        20      004_54_trajB.trr           8     -1
        21      004_54_trajB.trr           7     -1
        22      004_54_trajB.trr           6     -1
        23      004_54_trajB.trr           5     -1
        24      004_54_trajB.trr           4     -1
        25      004_54_trajB.trr           3     -1
        26      004_54_trajB.trr           2     -1
        27      004_54_trajB.trr           1     -1
        28      004_54_trajB.trr           0     -1
        29      004_55_trajF.trr           1      1
        30      004_55_trajF.trr           2      1
        31      004_55_trajF.trr           3      1
        32      004_55_trajF.trr           4      1
        33      004_55_trajF.trr           5      1
        34      004_55_trajF.trr           6      1
        35      004_55_trajF.trr           7      1
        36      004_55_trajF.trr           8      1
        37      004_55_trajF.trr           9      1
        38      004_55_trajF.trr          10      1
        39      004_55_trajF.trr          11      1
        40      004_55_trajF.trr          12      1
        41      004_55_trajF.trr          13      1
        42      004_55_trajF.trr          14      1
        43      004_57_trajF.trr           0      1
        44      004_57_trajF.trr           1      1
        45      004_57_trajF.trr           2      1
        46      004_57_trajF.trr           3      1
        47      004_57_trajF.trr           4      1
        48      004_57_trajF.trr           5      1
