# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
        31     0.453827
        32     0.455029
        33     0.455990
        34     0.456429
        35     0.456867
        36     0.457413
        37     0.457114
        38     0.457249
        39     0.457182
        40     0.456035
        41     0.455744
        42     0.454240
# Cycle: 10, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.503657
         1     0.499886
         2     0.495853
         3     0.492223
         4     0.488348
         5     0.484889
         6     0.481142
         7     0.478070
         8     0.474315
         9     0.471494
        10     0.467996
        11     0.465007
        12     0.461549
        13     0.458537
        14     0.454547
        15     0.451138
        16     0.446885
        17     0.442572
        18     0.438002
        19     0.433348
        20     0.428209
        21     0.423561
        22     0.418249
        23     0.413419
        24     0.408359
        25     0.403314
        26     0.398281
        27     0.393337
        28     0.387856
        29     0.382667
        30     0.377077
        31     0.371114
        32     0.365604
        33     0.359466
        34     0.353727
        35     0.347748
        36     0.341863
        37     0.334986
        38     0.328668
        39     0.320280
        40     0.312500
        41     0.303561
        42     0.295322
# Cycle: 11, status: BTL, move: ('sh', 0.31249993114782904, 2, 0)
#     Time       Orderp
         0     0.312500
         1     0.317985
         2     0.323451
         3     0.328237
         4     0.332929
         5     0.335859
         6     0.339706
         7     0.342157
         8     0.345273
         9     0.348096
        10     0.350735
        11     0.353752
        12     0.356254
        13     0.359019
        14     0.361376
        15     0.364195
        16     0.366090
        17     0.368479
        18     0.370325
        19     0.371329
        20     0.372387
        21     0.373079
        22     0.372691
        23     0.373169
        24     0.372829
        25     0.372471
        26     0.372636
        27     0.372290
        28     0.371893
        29     0.372285
        30     0.371268
        31     0.370923
        32     0.370267
        33     0.368681
        34     0.367168
        35     0.365819
        36     0.362900
        37     0.361189
        38     0.358131
        39     0.355082
        40     0.351760
        41     0.348052
        42     0.343795
        43     0.339990
        44     0.335253
        45     0.331150
        46     0.326401
        47     0.321671
        48     0.316603
        49     0.311380
        50     0.305664
        51     0.299812
# Cycle: 12, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.295322
         1     0.303561
         2     0.312500
         3     0.320280
         4     0.328668
         5     0.334986
         6     0.341863
         7     0.347748
         8     0.353727
         9     0.359466
        10     0.365604
        11     0.371114
        12     0.377077
        13     0.382667
        14     0.387856
        15     0.393337
        16     0.398281
        17     0.403314
        18     0.408359
        19     0.413419
        20     0.418249
        21     0.423561
        22     0.428209
        23     0.433348
        24     0.438002
        25     0.442572
        26     0.446885
        27     0.451138
        28     0.454547
        29     0.458537
        30     0.461549
        31     0.465007
        32     0.467996
        33     0.471494
        34     0.474315
        35     0.478070
        36     0.481142
        37     0.484889
        38     0.488348
