#       time      orderparam
         0         -1.0070
         1         -0.8360
         2         -0.6640
         3         -0.4930
         4         -0.3210
         5         -0.1500
         6          0.0210
         7          0.1930
         8          0.3640
         9          0.5360
        10          0.7070
        11          0.8790
        12          1.0070
