#       time      orderparam
         0      0.25356600
         1      0.30104300
         2      0.30081200
         3      0.30081200
         4      0.30095400
         5      0.30081200
         6      0.30097800
         7      0.30095400
         8      0.30104300
         9      0.30038700
        10      0.30016800
        11      0.30081200
        12      0.30002500
        13      0.30016800
        14      0.30097800
        15      0.30054600
        16      0.30097800
        17      0.30054600
        18      0.30097800
        19      0.30104300
        20      0.30104300
        21      0.30095400
        22      0.30016800
        23      0.30068200
        24      0.30042500
        25      0.30042500
        26      0.25356600
