# Cycle: 199936, status: ACC
#     Step              Filename       index    vel
         0   008_48748_trajB.xyz          11     -1
         1   008_48748_trajB.xyz          10     -1
         2   008_48748_trajB.xyz           9     -1
         3   008_48748_trajB.xyz           8     -1
         4   008_48748_trajB.xyz           7     -1
         5   008_48748_trajB.xyz           6     -1
         6   008_48748_trajB.xyz           5     -1
         7   008_48748_trajB.xyz           4     -1
         8   008_48748_trajB.xyz           3     -1
         9   008_48748_trajB.xyz           2     -1
        10   008_48748_trajB.xyz           1     -1
        11   008_48748_trajB.xyz           0     -1
        12   008_48749_trajF.xyz           1      1
        13   008_48749_trajF.xyz           2      1
        14   008_48749_trajF.xyz           3      1
        15   008_48749_trajF.xyz           4      1
        16   008_48749_trajF.xyz           5      1
        17   008_48749_trajF.xyz           6      1
        18   008_48749_trajF.xyz           7      1
        19   008_48749_trajF.xyz           8      1
        20   008_48749_trajF.xyz           9      1
        21   008_48749_trajF.xyz          10      1
        22   008_48749_trajF.xyz          11      1
        23   008_48749_trajF.xyz          12      1
        24   008_48749_trajF.xyz          13      1
        25   008_48749_trajF.xyz          14      1
        26   008_48749_trajF.xyz          15      1
        27   008_48749_trajF.xyz          16      1
        28   008_48749_trajF.xyz          17      1
        29   008_48749_trajF.xyz          18      1
        30   008_48749_trajF.xyz          19      1
        31   008_48749_trajF.xyz          20      1
        32   008_48749_trajF.xyz          21      1
        33   008_48749_trajF.xyz          22      1
        34   008_48749_trajF.xyz          23      1
        35   008_48749_trajF.xyz          24      1
        36   008_48749_trajF.xyz          25      1
        37   008_48749_trajF.xyz          26      1
        38   008_48749_trajF.xyz          27      1
