# Cycle: 45, status: ACC, move: ('wf', 9000, 3, 18)
#     Time       Orderp
         0     0.335999
         1     0.346244
         2     0.355939
         3     0.364458
         4     0.371732
         5     0.377659
         6     0.382205
         7     0.385447
         8     0.387391
         9     0.387941
        10     0.387085
        11     0.384824
        12     0.381080
        13     0.376017
        14     0.369437
        15     0.361463
        16     0.352289
        17     0.342156
